symbol,address,price_usd,multiplier,phantom_raw,graduation_raw
COST,0x4EA005168D7F09a7A0Ba9D1DEf21a479950E44C2,893.74,1.0006120402962597,4472837000000000000,11182092000000000000
TTD,0x0b5fb4031cae9163db10B169Ee72685F0EdC8545,14.49,1,276052450000000000000,690131125000000000000
HWM,0xAEa445c5F3DB1a462998ccC422A875A361ee5d99,227.73,1,17564660000000000000,43911650000000000000
HIMS,0xCceE82fE024c36fA15E1005edE3E9e4787e23D09,28,1,142857143000000000000,357142857000000000000
CELH,0x8cF07C5A878945185d327aAa6e33FAa95F95e7bF,28.25,1,141592920000000000000,353982301000000000000
RBLX,0xF0C4BF4C582cb3836e98394b1d4e7B7281101bE8,47.43,1,84334809000000000000,210837023000000000000
SPMO,0xAd622320e520de39e72d41EF07438C3Fd3354875,143.66,1,27843519000000000000,69608799000000000000
AMKR,0xDd356AA38F40A7b7076755aC854B6FBb1F0D305B,46.28,1,86430424000000000000,216076059000000000000
ONTO,0x8ff63eAeEe3fE54Ba450c4F5538064Ec5A893Aef,243.64,1,16417665000000000000,41044164000000000000
SOXX,0x75742c18BC1f1C5c5f448f4C9D9C6F66dafAAa38,502.06,1.000450838210426,7963585000000000000,19908962000000000000
ASML,0x47F93d52cBeC7C6D2CfC080e154002370a60dAEA,1602.22,1.0001013232514178,2496283000000000000,6240708000000000000
HII,0xEB61c0Ed490A367d4E3631cCf8a74B3bfc7E775D,278.09,1,14383833000000000000,35959581000000000000
AVAV,0xF6290b5e7C26502e2dA514C31509849718EA76A5,156.45,1,25567274000000000000,63918185000000000000
INDA,0xACEF2e09adb47aD6aBeBAD9fF06689E60615C2B6,47.46,1,84281500000000000000,210703751000000000000
MDB,0xDdf2266b79abf0B48898959B0ed6E6adf512be74,376.34,1,10628687000000000000,26571717000000000000
PFE,0x7066A64c24e4206CD62E83bf198c1E7EB361F51e,27.46,1,145666424000000000000,364166060000000000000
KLAC,0x96b933C74eCB4A0926b9210cef7b743EF46be2E9,167.36,1,23900574000000000000,59751434000000000000
IBRX,0x7c148F74ac7445D1F28366b7FcDC6792a9Fcd0Cf,7.91,1,505689001000000000000,1264222503000000000000
